Price,Open,High,Low,Close,Volume,Adj Close
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2015-01-02 00:00:00+00:00,206.3800048828125,206.8800048828125,204.17999267578125,205.42999267578125,121465900,173.17376708984375
2015-01-05 00:00:00+00:00,204.1699981689453,204.3699951171875,201.35000610351562,201.72000122070312,169632600,170.0463104248047
2015-01-06 00:00:00+00:00,202.08999633789062,202.72000122070312,198.86000061035156,199.82000732421875,209151400,168.4446563720703
2015-01-07 00:00:00+00:00,201.4199981689453,202.72000122070312,200.8800048828125,202.30999755859375,125346700,170.54367065429688
2015-01-08 00:00:00+00:00,204.00999450683594,206.16000366210938,203.99000549316406,205.89999389648438,147217800,173.5699005126953
2015-01-09 00:00:00+00:00,206.39999389648438,206.4199981689453,203.50999450683594,204.25,158567300,172.1790771484375
2015-01-12 00:00:00+00:00,204.41000366210938,204.60000610351562,201.9199981689453,202.64999389648438,144396100,170.83030700683594
2015-01-13 00:00:00+00:00,204.1199951171875,205.47999572753906,200.50999450683594,202.0800018310547,214553300,170.34979248046875
2015-01-14 00:00:00+00:00,199.64999389648438,201.10000610351562,198.57000732421875,200.86000061035156,192991100,169.3212890625
2015-01-15 00:00:00+00:00,201.6300048828125,202.00999450683594,198.8800048828125,199.02000427246094,176613900,167.77029418945312
2015-01-16 00:00:00+00:00,198.77000427246094,201.82000732421875,198.5500030517578,201.6300048828125,211879600,169.97042846679688
2015-01-20 00:00:00+00:00,202.39999389648438,202.72000122070312,200.1699981689453,202.05999755859375,130991100,170.3329315185547
2015-01-21 00:00:00+00:00,201.5,203.66000366210938,200.94000244140625,203.0800018310547,122942700,171.19276428222656
2015-01-22 00:00:00+00:00,203.99000549316406,206.25999450683594,202.3300018310547,206.10000610351562,174356000,173.73854064941406
2015-01-23 00:00:00+00:00,205.7899932861328,206.10000610351562,204.80999755859375,204.97000122070312,117516800,172.7859649658203
2015-01-26 00:00:00+00:00,204.7100067138672,205.55999755859375,203.85000610351562,205.4499969482422,92009700,173.1905975341797
2015-01-27 00:00:00+00:00,202.97000122070312,204.1199951171875,201.74000549316406,202.74000549316406,134044600,170.90614318847656
2015-01-28 00:00:00+00:00,204.1699981689453,204.2899932861328,199.91000366210938,200.13999938964844,168514300,168.7144317626953
2015-01-29 00:00:00+00:00,200.3800048828125,202.3000030517578,198.67999267578125,201.99000549316406,173585400,170.27392578125
2015-01-30 00:00:00+00:00,200.57000732421875,202.1699981689453,199.1300048828125,199.4499969482422,197729700,168.13272094726562
2015-02-02 00:00:00+00:00,200.0500030517578,202.02999877929688,197.86000061035156,201.9199981689453,163107000,170.2148895263672
2015-02-03 00:00:00+00:00,203.0,204.85000610351562,202.5500030517578,204.83999633789062,124212900,172.67640686035156
2015-02-04 00:00:00+00:00,203.9199981689453,205.3800048828125,203.50999450683594,204.05999755859375,134306700,172.01882934570312
2015-02-05 00:00:00+00:00,204.86000061035156,206.3000030517578,204.77000427246094,206.1199951171875,97953200,173.7554473876953
2015-02-06 00:00:00+00:00,206.55999755859375,207.24000549316406,204.9199981689453,205.5500030517578,125672000,173.27487182617188
2015-02-09 00:00:00+00:00,204.77000427246094,205.63999938964844,204.13999938964844,204.6300048828125,87219000,172.49942016601562
2015-02-10 00:00:00+00:00,205.8800048828125,207.1199951171875,204.67999267578125,206.80999755859375,96164200,174.33706665039062
2015-02-11 00:00:00+00:00,206.61000061035156,207.4499969482422,205.8300018310547,206.92999267578125,91087800,174.43826293945312
2015-02-12 00:00:00+00:00,207.88999938964844,208.99000549316406,206.97000122070312,208.9199981689453,97545900,176.11582946777344
2015-02-13 00:00:00+00:00,209.07000732421875,209.83999633789062,208.75999450683594,209.77999877929688,93670400,176.84072875976562
2015-02-17 00:00:00+00:00,209.39999389648438,210.32000732421875,209.10000610351562,210.11000061035156,76968200,177.11891174316406
2015-02-18 00:00:00+00:00,209.66000366210938,210.22000122070312,209.33999633789062,210.1300048828125,80652900,177.13577270507812
